ID: 0
Ora: 17/12/2019 17:44:27
ChatID: 150631830
Nome: Nicola
Cognome: Montanari
Username: Nicola_montanari
Contenuto: Non funziona


ID: 0
Ora: 19/12/2019 21:01:40
ChatID: 427223783
Nome: Samu
Cognome: 
Username: dhshwgiw
Contenuto: doiajsd09as9dua9da+99sd9qdw+9


ID: 0
Ora: 19/12/2019 21:13:59
ChatID: 427223783
Nome: Samu
Cognome: 
Username: dhshwgiw
Contenuto: Diocane


ID: 0
Ora: 19/12/2019 21:15:31
ChatID: 150631830
Nome: Nicola
Cognome: Montanari
Username: Nicola_montanari
Contenuto: Ciao


ID: 1
Ora: 19/12/2019 21:15:56
ChatID: 427223783
Nome: Samu
Cognome: 
Username: dhshwgiw
Contenuto: La Madonna fa un po' schifo


ID: 2
Ora: 19/12/2019 21:16:35
ChatID: 150631830
Nome: Nicola
Cognome: Montanari
Username: Nicola_montanari
Contenuto: Ciao


ID: 0
Ora: 28/12/2019 15:31:32
ChatID: 150631830
Nome: Nicola
Cognome: Montanari
Username: Nicola_montanari
Contenuto: Ciao


ID: 0
Ora: 28/12/2019 15:32:21
ChatID: 150631830
Nome: Nicola
Cognome: Montanari
Username: Nicola_montanari
Contenuto: Ciao


ID: 0
Ora: 28/12/2019 16:05:31
ChatID: 150631830
Nome: Nicola
Cognome: Montanari
Username: Nicola_montanari
Contenuto: Il servizio di FeedBack è uno dei servizi piu importanti attualmente disponibili.

Inviare un Feedback a noi sviluppatori raccontando com'è la tua esperienza con questo Bot, significa aiutare allo sviluppo e al miglioramento del bot stesso!

Noi cerchiamo e cercheremo sempre di fare del nostro meglio per correggere errori e mantenere tutti i servizi online e disponibili per voi, ma ci sarà sempre la possibilità di non esserci resi conto di qualche piccolo errore che potrebbe compromettere il corretto funzionamento di qualche servizio. 

Ecco perchè per noi la vostra opinione conta tantissimo!

Attraverso i FeedBack potete inviarci consigli su come migliorare il Bot, errori che avete riscontrato utilizzando qualche servizio oppure semplicemente per ringraziarci nel caso vada tutto bene!☺️

Vuoi inviarci un Feedback?


ID: 1
Ora: 28/12/2019 16:06:01
ChatID: 150631830
Nome: Nicola
Cognome: Montanari
Username: Nicola_montanari
Contenuto: Il servizio di FeedBack è uno dei servizi piu importanti attualmente disponibili.

Inviare un Feedback a noi sviluppatori raccontando com'è la tua esperienza con questo Bot, significa aiutare allo sviluppo e al miglioramento del bot stesso!

Noi cerchiamo e cercheremo sempre di fare del nostro meglio per correggere errori e mantenere tutti i servizi online e disponibili per voi, ma ci sarà sempre la possibilità di non esserci resi conto di qualche piccolo errore che potrebbe compromettere il corretto funzionamento di qualche servizio. 

Ecco perchè per noi la vostra opinione conta tantissimo!

Attraverso i FeedBack potete inviarci consigli su come migliorare il Bot, errori che avete riscontrato utilizzando qualche servizio oppure semplicemente per ringraziarci nel caso vada tutto bene!☺️

Vuoi inviarci un Feedback?


ID: 0
Ora: 28/12/2019 16:08:12
ChatID: 427223783
Nome: Samu
Cognome: 
Username: dhshwgiw
Contenuto: Il servizio di FeedBack è uno dei servizi piu importanti attualmente disponibili.

Inviare un Feedback a noi sviluppatori raccontando com'è la tua esperienza con questo Bot, significa aiutare allo sviluppo e al miglioramento del bot stesso!

Noi cerchiamo e cercheremo sempre di fare del nostro meglio per correggere errori e mantenere tutti i servizi online e disponibili per voi, ma ci sarà sempre la possibilità di non esserci resi conto di qualche piccolo errore che potrebbe compromettere il corretto funzionamento di qualche servizio. 

Ecco perchè per noi la vostra opinione conta tantissimo!

Attraverso i FeedBack potete inviarci consigli su come migliorare il Bot, errori che avete riscontrato utilizzando qualche servizio oppure semplicemente per ringraziarci nel caso vada tutto bene!☺️

Vuoi inviarci un Feedback?


ID: 1
Ora: 28/12/2019 16:08:12
ChatID: 150631830
Nome: Nicola
Cognome: Montanari
Username: Nicola_montanari
Contenuto: Il servizio di FeedBack è uno dei servizi piu importanti attualmente disponibili.

Inviare un Feedback a noi sviluppatori raccontando com'è la tua esperienza con questo Bot, significa aiutare allo sviluppo e al miglioramento del bot stesso!

Noi cerchiamo e cercheremo sempre di fare del nostro meglio per correggere errori e mantenere tutti i servizi online e disponibili per voi, ma ci sarà sempre la possibilità di non esserci resi conto di qualche piccolo errore che potrebbe compromettere il corretto funzionamento di qualche servizio. 

Ecco perchè per noi la vostra opinione conta tantissimo!

Attraverso i FeedBack potete inviarci consigli su come migliorare il Bot, errori che avete riscontrato utilizzando qualche servizio oppure semplicemente per ringraziarci nel caso vada tutto bene!☺️

Vuoi inviarci un Feedback?


ID: 2
Ora: 28/12/2019 16:08:34
ChatID: 427223783
Nome: Samu
Cognome: 
Username: dhshwgiw
Contenuto: Il servizio di FeedBack è uno dei servizi piu importanti attualmente disponibili.

Inviare un Feedback a noi sviluppatori raccontando com'è la tua esperienza con questo Bot, significa aiutare allo sviluppo e al miglioramento del bot stesso!

Noi cerchiamo e cercheremo sempre di fare del nostro meglio per correggere errori e mantenere tutti i servizi online e disponibili per voi, ma ci sarà sempre la possibilità di non esserci resi conto di qualche piccolo errore che potrebbe compromettere il corretto funzionamento di qualche servizio. 

Ecco perchè per noi la vostra opinione conta tantissimo!

Attraverso i FeedBack potete inviarci consigli su come migliorare il Bot, errori che avete riscontrato utilizzando qualche servizio oppure semplicemente per ringraziarci nel caso vada tutto bene!☺️

Vuoi inviarci un Feedback?


ID: 3
Ora: 28/12/2019 16:08:45
ChatID: 427223783
Nome: Samu
Cognome: 
Username: dhshwgiw
Contenuto: Il servizio di FeedBack è uno dei servizi piu importanti attualmente disponibili.

Inviare un Feedback a noi sviluppatori raccontando com'è la tua esperienza con questo Bot, significa aiutare allo sviluppo e al miglioramento del bot stesso!

Noi cerchiamo e cercheremo sempre di fare del nostro meglio per correggere errori e mantenere tutti i servizi online e disponibili per voi, ma ci sarà sempre la possibilità di non esserci resi conto di qualche piccolo errore che potrebbe compromettere il corretto funzionamento di qualche servizio. 

Ecco perchè per noi la vostra opinione conta tantissimo!

Attraverso i FeedBack potete inviarci consigli su come migliorare il Bot, errori che avete riscontrato utilizzando qualche servizio oppure semplicemente per ringraziarci nel caso vada tutto bene!☺️

Vuoi inviarci un Feedback?


ID: 0
Ora: 28/12/2019 16:18:29
ChatID: 427223783
Nome: Samu
Cognome: 
Username: dhshwgiw
Contenuto: Nicola non sai programmare


ID: 1
Ora: 28/12/2019 16:18:35
ChatID: 150631830
Nome: Nicola
Cognome: Montanari
Username: Nicola_montanari
Contenuto: Ciao


ID: 0
Ora: 28/12/2019 16:29:10
ChatID: 150631830
Nome: Nicola
Cognome: Montanari
Username: Nicola_montanari
Contenuto: Ciao


ID: 0
Ora: 28/12/2019 16:33:45
ChatID: 150631830
Nome: Nicola
Cognome: Montanari
Username: Nicola_montanari
Contenuto: Ciao


ID: 1
Ora: 28/12/2019 16:33:55
ChatID: 150631830
Nome: Nicola
Cognome: Montanari
Username: Nicola_montanari
Contenuto: Ciao


ID: 0
Ora: 07/01/2020 20:51:22
ChatID: 427223783
Nome: Samu
Cognome: 
Username: dhshwgiw
Contenuto: Sisi certo imbecille


ID: 1
Ora: 07/01/2020 20:51:22
ChatID: 427223783
Nome: Samu
Cognome: 
Username: dhshwgiw
Contenuto: Ma


ID: 2
Ora: 07/01/2020 20:52:13
ChatID: 427223783
Nome: Samu
Cognome: 
Username: dhshwgiw
Contenuto: We waglio bello sto sistema di feedback che va a caso


ID: 3
Ora: 07/01/2020 20:52:33
ChatID: 150631830
Nome: Nicola
Cognome: Montanari
Username: Nicola_montanari
Contenuto: Non va a caso


ID: 0
Ora: 07/01/2020 20:53:13
ChatID: 427223783
Nome: Samu
Cognome: 
Username: dhshwgiw
Contenuto: Mo ti mando uno screen


ID: 1
Ora: 07/01/2020 20:53:43
ChatID: 427223783
Nome: Samu
Cognome: 
Username: dhshwgiw
Contenuto: Se fai il feedback da /supporto è lentissimo


ID: 2
Ora: 07/01/2020 20:53:52
ChatID: 150631830
Nome: Nicola
Cognome: Montanari
Username: Nicola_montanari
Contenuto: A me va da dio


ID: 3
Ora: 07/01/2020 20:54:11
ChatID: 427223783
Nome: Samu
Cognome: 
Username: dhshwgiw
Contenuto: Anche da /supporto?


ID: 4
Ora: 07/01/2020 20:54:23
ChatID: 150631830
Nome: Nicola
Cognome: Montanari
Username: Nicola_montanari
Contenuto: Fino ad ora ho usato solo quello


ID: 5
Ora: 07/01/2020 20:54:49
ChatID: 427223783
Nome: Samu
Cognome: 
Username: dhshwgiw
Contenuto: Allora può essere che se lo mandavamo io e te insieme ci metteva un po' a processare


ID: 6
Ora: 07/01/2020 20:54:55
ChatID: 150631830
Nome: Nicola
Cognome: Montanari
Username: Nicola_montanari
Contenuto: Chiudo il bot vieni su discord


ID: 0
Ora: 07/01/2020 21:06:24
ChatID: 427223783
Nome: Samu
Cognome: 
Username: dhshwgiw
Contenuto: Una volta che lo hosti dovrebbe andare meglio


ID: 0
Ora: 08/01/2020 20:42:10
ChatID: 427223783
Nome: Samu
Cognome: 
Username: dhshwgiw
Contenuto: Mi dici come li invii sti cazzo di messaggi?


ID: 1
Ora: 08/01/2020 20:42:27
ChatID: 150631830
Nome: Nicola
Cognome: Montanari
Username: Nicola_montanari
Contenuto: HAHAHAHAHA SONO TROPPO FORTEEEEEEEEEEE


ID: 2
Ora: 08/01/2020 20:42:33
ChatID: 427223783
Nome: Samu
Cognome: 
Username: dhshwgiw
Contenuto: Mi sono rotto il cazzo di scrivere sempre /supporto


ID: 3
Ora: 08/01/2020 20:42:49
ChatID: 427223783
Nome: Samu
Cognome: 
Username: dhshwgiw
Contenuto: Dai su non fare la minchia e spiega


ID: 4
Ora: 08/01/2020 20:43:02
ChatID: 150631830
Nome: Nicola
Cognome: Montanari
Username: Nicola_montanari
Contenuto: Ma mica li sto mandando solo a te, il bot li manda a tutti gli iscritti


ID: 5
Ora: 08/01/2020 20:43:30
ChatID: 427223783
Nome: Samu
Cognome: 
Username: dhshwgiw
Contenuto: Eh? Li scrivi in chat da me?


ID: 6
Ora: 08/01/2020 20:43:50
ChatID: 150631830
Nome: Nicola
Cognome: Montanari
Username: Nicola_montanari
Contenuto: Scusa ma lo dico solo alle persone che o vengono su discord o ci lavorano un minimo a sto bot hahahahaha


ID: 7
Ora: 08/01/2020 20:44:19
ChatID: 427223783
Nome: Samu
Cognome: 
Username: dhshwgiw
Contenuto: Se se infatti se non c'ero io voglio vedere a che punto eri


ID: 8
Ora: 08/01/2020 20:44:44
ChatID: 427223783
Nome: Samu
Cognome: 
Username: dhshwgiw
Contenuto: Ah dal father


